Name,Team,Height,Weight,Jersey Number,Position Shorthand,Position Longhand,Country,Overall,Potential,Stats,Detailed link
Xander Martlé,KSV Cercle Brugge,"5'8""																",132lbs,#62 ,CAM,Center Attacking Midfielder,Belgium,58,75,1413,https://www.fifaratings.com/xander-martle
Lee Nicholls,Huddersfield Town,"6'3""																",187lbs,#21 ,GK,Goalkeeper,England,74,75,1163,https://www.fifaratings.com/lee-nicholls
Michał Helik,Huddersfield Town,"6'3""																",176lbs,#39 ,CB,Centre Back,Poland,71,72,1673,https://www.fifaratings.com/michal-helik
Sorba Thomas,Huddersfield Town,"6'1""																",165lbs,#7 ,RM,Right Midfielder,Wales,70,75,1890,https://www.fifaratings.com/sorba-thomas
Matty Pearson,Huddersfield Town,"6'3""																",172lbs,#4 ,CB,Centre Back,England,70,71,1623,https://www.fifaratings.com/matty-pearson
Jonathan Hogg,Huddersfield Town,"5'9""																",161lbs,#6 ,CDM,Center Defensive Midfielder,England,70,70,1792,https://www.fifaratings.com/jonathan-hogg
Tom Lees,Huddersfield Town,"6'1""																",165lbs,#32 ,CB,Centre Back,England,70,70,1631,https://www.fifaratings.com/tom-lees
Danny Ward,Huddersfield Town,"5'11""																",159lbs,#25 ,ST,Striker,England,69,69,1808,https://www.fifaratings.com/danny-ward-2
Connor Mahoney,Huddersfield Town,"5'9""																",148lbs,#11 ,LM,Left Midfielder,England,68,71,1662,https://www.fifaratings.com/connor-mahoney
Josh Ruffels,Huddersfield Town,"5'10""																",165lbs,#14 ,LWB,Left WingBack,England,68,68,1762,https://www.fifaratings.com/josh-ruffels
Duane Holmes,Huddersfield Town,"5'6""																",143lbs,#19 ,RM,Right Midfielder,United States,68,68,1901,https://www.fifaratings.com/duane-holmes
Jordan Rhodes,Huddersfield Town,"6'1""																",157lbs,#9 ,ST,Striker,Scotland,68,68,1665,https://www.fifaratings.com/jordan-rhodes
William Boyle,Huddersfield Town,"6'3""																",185lbs,#12 ,CB,Centre Back,England,67,69,1437,https://www.fifaratings.com/william-boyle
Oliver Turton,Huddersfield Town,"5'11""																",165lbs,#2 ,RB,Right Back,England,67,67,1657,https://www.fifaratings.com/oliver-turton
Tino Anjorin,Huddersfield Town,"6'1""																",161lbs,#8 ,CAM,Center Attacking Midfielder,England,66,80,1778,https://www.fifaratings.com/tino-anjorin
Jon Russell,Huddersfield Town,"6'4""																",179lbs,#5 ,CDM,Center Defensive Midfielder,Jamaica,66,76,1716,https://www.fifaratings.com/jon-russell
Yuta Nakayama,Huddersfield Town,"5'11""																",150lbs,#33 ,CDM,Center Defensive Midfielder,Japan,66,69,1765,https://www.fifaratings.com/yuta-nakayama
K. Kesler Hayden,Huddersfield Town,"5'9""																",137lbs,#16 ,RWB,Right WingBack,England,65,81,1679,https://www.fifaratings.com/kaine-kesler-hayden
Jack Rudoni,Huddersfield Town,"6'1""																",170lbs,#22 ,CAM,Center Attacking Midfielder,England,65,80,1813,https://www.fifaratings.com/jack-rudoni
David Kasumu,Huddersfield Town,"5'11""																",154lbs,#18 ,CDM,Center Defensive Midfielder,Nigeria,65,74,1816,https://www.fifaratings.com/david-kasumu
Tyreece Simpson,Huddersfield Town,"6'1""																",179lbs,#27 ,ST,Striker,England,64,76,1511,https://www.fifaratings.com/tyreece-simpson
Luke Mbete,Huddersfield Town,"6'1""																",172lbs,#3 ,CB,Centre Back,England,63,82,1519,https://www.fifaratings.com/luke-mbete
Aaron Rowe,Huddersfield Town,"5'10""																",141lbs,#20 ,RM,Right Midfielder,England,62,73,1629,https://www.fifaratings.com/aaron-rowe
Ben Jackson,Huddersfield Town,"5'10""																",161lbs,#30 ,LWB,Left WingBack,England,62,70,1553,https://www.fifaratings.com/ben-jackson
Etienne Camara,Huddersfield Town,"6'3""																",159lbs,#24 ,CB,Centre Back,France,60,75,1576,https://www.fifaratings.com/etienne-camara
Pat Jones,Huddersfield Town,"5'11""																",154lbs,#26 ,RM,Right Midfielder,Wales,59,76,1447,https://www.fifaratings.com/pat-jones
Brahima Diarra,Huddersfield Town,"5'9""																",139lbs,#34 ,RM,Right Midfielder,France,59,75,1539,https://www.fifaratings.com/brahima-diarra
Brodie Spencer,Huddersfield Town,"6'0""																",165lbs,#43 ,RWB,Right WingBack,Northern Ireland,59,73,1565,https://www.fifaratings.com/brodie-spencer
M. Olagunju,Huddersfield Town,"6'2""																",168lbs,#35 ,CB,Centre Back,England,56,68,1281,https://www.fifaratings.com/mustapha-olagunju
N. Bilokapic,Huddersfield Town,"6'5""																",165lbs,#41 ,GK,Goalkeeper,Australia,55,72,815,https://www.fifaratings.com/nicholas-bilokapic
Loick Ayina,Huddersfield Town,"6'1""																",154lbs,#36 ,CB,Centre Back,France,55,70,1309,https://www.fifaratings.com/loick-ayina
Mario Balotelli,FC Sion,"6'3""																",207lbs,#45 ,ST,Striker,Italy,77,77,1857,https://www.fifaratings.com/mario-balotelli
Heinz Lindner,FC Sion,"6'2""																",181lbs,#1 ,GK,Goalkeeper,Austria,75,75,1141,https://www.fifaratings.com/heinz-lindner
Wylan Cyprien,FC Sion,"5'11""																",172lbs,#10 ,CDM,Center Defensive Midfielder,France,72,73,2024,https://www.fifaratings.com/wylan-cyprien
Numa Lavanchy,FC Sion,"5'9""																",161lbs,#19 ,RB,Right Back,Switzerland,72,72,1939,https://www.fifaratings.com/numa-lavanchy
Anto Grgić,FC Sion,"6'2""																",185lbs,#14 ,CM,Center Midfielder,Switzerland,71,74,1951,https://www.fifaratings.com/anto-grgic
Giovanni Sio,FC Sion,"5'11""																",176lbs,#13 ,ST,Striker,Ivory Coast,69,69,1822,https://www.fifaratings.com/giovanni-sio
F. Moubandje,FC Sion,"5'11""																",163lbs,#90 ,LB,Left Back,Switzerland,69,69,1851,https://www.fifaratings.com/francois-moubandje
Kevin Bua,FC Sion,"5'11""																",170lbs,#33 ,LM,Left Midfielder,Switzerland,68,68,1719,https://www.fifaratings.com/kevin-bua
K. Fickentscher,FC Sion,"6'0""																",172lbs,#18 ,GK,Goalkeeper,Switzerland,67,67,1158,https://www.fifaratings.com/kevin-fickentscher
Luca Zuffi,FC Sion,"5'11""																",168lbs,#7 ,CDM,Center Defensive Midfielder,Switzerland,67,67,1871,https://www.fifaratings.com/luca-zuffi
Denis Will Poha,FC Sion,"5'8""																",150lbs,#22 ,CDM,Center Defensive Midfielder,France,66,70,1891,https://www.fifaratings.com/denis-will-poha
Dimitri Cavaré,FC Sion,"6'1""																",205lbs,#97 ,CB,Centre Back,France,66,67,1766,https://www.fifaratings.com/dimitri-cavare
Gaëtan Karlen,FC Sion,"6'2""																",179lbs,#11 ,ST,Striker,Switzerland,66,66,1758,https://www.fifaratings.com/gaetan-karlen
Ilyas Chouaref,FC Sion,"5'9""																",143lbs,#9 ,CAM,Center Attacking Midfielder,France,65,77,1615,https://www.fifaratings.com/ilyas-chouaref
Itaitinga,FC Sion,"6'0""																",185lbs,#76 ,ST,Striker,Brazil,65,71,1634,https://www.fifaratings.com/cleilton-monteiro-da-costa
Joël Schmied,FC Sion,"6'2""																",185lbs,#2 ,CB,Centre Back,Switzerland,65,69,1421,https://www.fifaratings.com/joel-schmied
Musa Araz,FC Sion,"5'8""																",139lbs,#20 ,CAM,Center Attacking Midfielder,Switzerland,65,65,1749,https://www.fifaratings.com/musa-araz
F. Stojilković,FC Sion,"6'1""																",176lbs,#17 ,ST,Striker,Switzerland,64,73,1591,https://www.fifaratings.com/filip-stojilkovic
Baltazar,FC Sion,"5'10""																",170lbs,#8 ,CAM,Center Attacking Midfielder,Brazil,62,73,1703,https://www.fifaratings.com/baltazar-oliveira
D. Iapichino,FC Sion,"6'0""																",165lbs,#21 ,LB,Left Back,Switzerland,61,61,1627,https://www.fifaratings.com/dennis-iapichino
Gilles Richard,FC Sion,"6'1""																",176lbs,#71 ,CB,Centre Back,Switzerland,57,70,1316,https://www.fifaratings.com/gilles-richard
Nicky Clescenco,FC Sion,"5'10""																",148lbs,#23 ,LW,Left Winger,Moldova,57,66,1373,https://www.fifaratings.com/nicky-clescenco
A. Safarikas,FC Sion,"6'4""																",194lbs,#12 ,GK,Goalkeeper,Greece,57,65,907,https://www.fifaratings.com/alexandros-safarikas
N. Saintini,FC Sion,"6'2""																",187lbs,#39 ,CB,Centre Back,France,56,66,1316,https://www.fifaratings.com/nathanael-saintini
Kevin Halabaku,FC Sion,"5'11""																",165lbs,#29 ,LW,Left Winger,Switzerland,54,62,1331,https://www.fifaratings.com/kevin-halabaku
José Aguilar,FC Sion,"5'7""																",141lbs,#15 ,CAM,Center Attacking Midfielder,Spain,52,66,1453,https://www.fifaratings.com/jose-aguilar-martinez
Abdel Zagré,FC Sion,"6'2""																",174lbs,#27 ,ST,Striker,Burkina Faso,50,68,1255,https://www.fifaratings.com/abdel-zagre
Maxi Moralez,New York City FC,"5'2""																",123lbs,#10 ,CAM,Center Attacking Midfielder,Argentina,76,76,1909,https://www.fifaratings.com/maxi-moralez
A. Callens,New York City FC,"6'1""																",168lbs,#6 ,CB,Centre Back,Peru,73,73,1713,https://www.fifaratings.com/alexander-callens
Sean Johnson,New York City FC,"6'3""																",216lbs,#1 ,GK,Goalkeeper,United States,73,73,1235,https://www.fifaratings.com/sean-johnson
Talles Magno,New York City FC,"6'1""																",154lbs,#43 ,RM,Right Midfielder,Brazil,72,84,1728,https://www.fifaratings.com/talles-magno-bacelar-martins
Maxime Chanot,New York City FC,"6'1""																",185lbs,#4 ,CB,Centre Back,Luxembourg,72,72,1660,https://www.fifaratings.com/maxime-chanot
A. Tinnerholm,New York City FC,"5'9""																",165lbs,#3 ,RB,Right Back,Sweden,72,72,1853,https://www.fifaratings.com/anton-tinnerholm
S. Rodríguez,New York City FC,"5'8""																",137lbs,#20 ,CAM,Center Attacking Midfielder,Uruguay,71,81,1695,https://www.fifaratings.com/santiago-rodriguez
Thiago Martins,New York City FC,"6'0""																",165lbs,#5 ,CB,Centre Back,Brazil,71,74,1682,https://www.fifaratings.com/thiago-martins-bueno
Alfredo Morales,New York City FC,"6'0""																",170lbs,#7 ,CDM,Center Defensive Midfielder,United States,71,71,1893,https://www.fifaratings.com/alfredo-morales
Keaton Parks,New York City FC,"6'3""																",179lbs,#55 ,CM,Center Midfielder,United States,70,75,1739,https://www.fifaratings.com/keaton-parks
Gabriel Pereira,New York City FC,"5'7""																",148lbs,#38 ,LM,Left Midfielder,Brazil,69,79,1701,https://www.fifaratings.com/gabriel-pereira-dos-santos
M. Pellegrini,New York City FC,"5'9""																",157lbs,#11 ,LM,Left Midfielder,Argentina,69,79,1760,https://www.fifaratings.com/matias-pellegrini
Héber,New York City FC,"5'11""																",159lbs,#9 ,ST,Striker,Brazil,68,68,1681,https://www.fifaratings.com/heber-araujo-dos-santos
Malte Amundsen,New York City FC,"5'10""																",179lbs,#12 ,LWB,Left WingBack,Denmark,67,73,1708,https://www.fifaratings.com/malte-amundsen
N. Acevedo,New York City FC,"5'8""																",161lbs,#26 ,CDM,Center Defensive Midfielder,Uruguay,66,75,1789,https://www.fifaratings.com/nicolas-acevedo
Thiago Andrade,New York City FC,"5'11""																",150lbs,#8 ,RM,Right Midfielder,Brazil,66,75,1753,https://www.fifaratings.com/thiago-eduardo-de-andrade
Tayvon Gray,New York City FC,"5'11""																",163lbs,#24 ,RWB,Right WingBack,United States,65,77,1560,https://www.fifaratings.com/tayvon-gray
Gedion Zelalem,New York City FC,"5'11""																",154lbs,#23 ,CAM,Center Attacking Midfielder,United States,63,67,1616,https://www.fifaratings.com/gedion-zelalem
Chris Gloster,New York City FC,"6'0""																",174lbs,#2 ,LWB,Left WingBack,United States,60,71,1579,https://www.fifaratings.com/chris-gloster
Luis Barraza,New York City FC,"6'2""																",194lbs,#13 ,GK,Goalkeeper,United States,60,66,921,https://www.fifaratings.com/luis-barraza
Andres Jasson,New York City FC,"5'9""																",154lbs,#21 ,RM,Right Midfielder,United States,59,77,1463,https://www.fifaratings.com/andres-jasson
Justin Haak,New York City FC,"6'0""																",165lbs,#80 ,CAM,Center Attacking Midfielder,United States,56,70,1452,https://www.fifaratings.com/justin-haak
Cody Mizell,New York City FC,"6'1""																",187lbs,#25 ,GK,Goalkeeper,United States,56,57,1012,https://www.fifaratings.com/cody-mizell
Vuk Latinovich,New York City FC,"6'1""																",181lbs,#32 ,CB,Centre Back,Serbia,55,62,1226,https://www.fifaratings.com/vuk-latinovich
K. O'Toole,New York City FC,"5'10""																",165lbs,#22 ,ST,Striker,United States,50,58,1269,https://www.fifaratings.com/kevin-otoole
Diego Rubio,Colorado Rapids,"5'11""																",170lbs,#11 ,ST,Striker,Chile,72,72,1934,https://www.fifaratings.com/diego-rubio
Michael Barrios,Colorado Rapids,"5'4""																",135lbs,#12 ,RM,Right Midfielder,Colombia,72,72,1842,https://www.fifaratings.com/michael-barrios
Jack Price,Colorado Rapids,"5'7""																",192lbs,#19 ,CDM,Center Defensive Midfielder,England,72,72,1869,https://www.fifaratings.com/jack-price
Gyasi Zardes,Colorado Rapids,"6'2""																",176lbs,#29 ,ST,Striker,United States,71,71,1801,https://www.fifaratings.com/gyasi-zardes
F. Gutiérrez,Colorado Rapids,"5'9""																",165lbs,#13 ,CM,Center Midfielder,Chile,71,71,1925,https://www.fifaratings.com/felipe-gutierrez
Bryan Acosta,Colorado Rapids,"5'9""																",176lbs,#21 ,CM,Center Midfielder,Honduras,70,70,2016,https://www.fifaratings.com/bryan-acosta
Lalas Abubakar,Colorado Rapids,"6'0""																",181lbs,#6 ,CB,Centre Back,Ghana,69,71,1523,https://www.fifaratings.com/lalas-abubakar
K. Rosenberry,Colorado Rapids,"5'8""																",161lbs,#2 ,CB,Centre Back,United States,69,69,1861,https://www.fifaratings.com/keegan-rosenberry
W. Yarbrough,Colorado Rapids,"6'2""																",165lbs,#22 ,GK,Goalkeeper,United States,69,69,1237,https://www.fifaratings.com/william-yarbrough
Danny Wilson,Colorado Rapids,"6'2""																",174lbs,#4 ,CB,Centre Back,Scotland,68,68,1554,https://www.fifaratings.com/danny-wilson
Jonathan Lewis,Colorado Rapids,"5'7""																",150lbs,#7 ,CAM,Center Attacking Midfielder,United States,66,69,1667,https://www.fifaratings.com/jonathan-lewis
S. Beitashour,Colorado Rapids,"5'10""																",172lbs,#33 ,RB,Right Back,Iran,66,66,1782,https://www.fifaratings.com/steven-beitashour
Braian Galván,Colorado Rapids,"5'5""																",141lbs,#55 ,LM,Left Midfielder,Argentina,65,76,1692,https://www.fifaratings.com/braian-galvan
Aboubacar Keita,Colorado Rapids,"6'2""																",179lbs,#47 ,CB,Centre Back,United States,65,72,1527,https://www.fifaratings.com/aboubacar-keita
Drew Moor,Colorado Rapids,"6'0""																",165lbs,#3 ,CB,Centre Back,United States,65,65,1555,https://www.fifaratings.com/drew-moor
Sam Nicholson,Colorado Rapids,"5'9""																",157lbs,#15 ,LM,Left Midfielder,Scotland,64,64,1686,https://www.fifaratings.com/sam-nicholson
Max,Colorado Rapids,"5'9""																",161lbs,#8 ,CAM,Center Attacking Midfielder,Brazil,63,74,1554,https://www.fifaratings.com/max-alves-da-silva
Lucas Esteves,Colorado Rapids,"5'7""																",148lbs,#66 ,LWB,Left WingBack,Brazil,63,68,1656,https://www.fifaratings.com/lucas-esteves-souza
Collen Warner,Colorado Rapids,"5'10""																",176lbs,#32 ,CM,Center Midfielder,United States,63,63,1800,https://www.fifaratings.com/collen-warner
Clint Irwin,Colorado Rapids,"6'3""																",194lbs,#1 ,GK,Goalkeeper,United States,63,63,1188,https://www.fifaratings.com/clint-irwin
G. Vallecilla,Colorado Rapids,"6'1""																",179lbs,#24 ,CB,Centre Back,Ecuador,62,71,1429,https://www.fifaratings.com/gustavo-vallecilla
Ralph Priso,Colorado Rapids,"5'9""																",176lbs,#97 ,CB,Centre Back,Canada,61,75,1565,https://www.fifaratings.com/ralph-priso
Dantouma Toure,Colorado Rapids,"5'8""																",148lbs,#37 ,LM,Left Midfielder,United States,59,76,1409,https://www.fifaratings.com/dantouma-toure
Matt Hundley,Colorado Rapids,"5'10""																",161lbs,#35 ,RM,Right Midfielder,United States,55,65,1371,https://www.fifaratings.com/matt-hundley
A. Markanich,Colorado Rapids,"6'1""																",165lbs,#31 ,CB,Centre Back,United States,55,64,1303,https://www.fifaratings.com/anthony-markanich
A. Rodriguez,Colorado Rapids,"5'9""																",165lbs,#28 ,GK,Goalkeeper,United States,54,70,842,https://www.fifaratings.com/abraham-rodriguez
S. Anderson,Colorado Rapids,"5'9""																",141lbs,#27 ,RWB,Right WingBack,United States,52,69,1353,https://www.fifaratings.com/sebastian-anderson
Oliver Larraz,Colorado Rapids,"5'10""																",139lbs,#30 ,CAM,Center Attacking Midfielder,United States,52,66,1423,https://www.fifaratings.com/oliver-larraz
Michael Edwards,Colorado Rapids,"6'3""																",176lbs,#34 ,CB,Centre Back,United States,52,62,1209,https://www.fifaratings.com/michael-edwards
Darren Yapi,Colorado Rapids,"6'1""																",174lbs,#77 ,ST,Striker,United States,49,72,1187,https://www.fifaratings.com/darren-yapi
Alan Velasco,FC Dallas,"5'6""																",139lbs,#20 ,CAM,Center Attacking Midfielder,Argentina,75,85,1954,https://www.fifaratings.com/alan-velasco
Jesus Ferreira,FC Dallas,"5'8""																",141lbs,#10 ,CF,Center Forward,United States,74,82,1955,https://www.fifaratings.com/jesus-ferreira
Paul Arriola,FC Dallas,"5'6""																",146lbs,#7 ,RM,Right Midfielder,United States,73,73,1990,https://www.fifaratings.com/paul-arriola
Facundo Quignon,FC Dallas,"5'10""																",161lbs,#5 ,CDM,Center Defensive Midfielder,Argentina,72,72,1894,https://www.fifaratings.com/facundo-quignon
Matt Hedges,FC Dallas,"6'4""																",205lbs,#24 ,CB,Centre Back,United States,72,72,1536,https://www.fifaratings.com/matt-hedges
Nanu,FC Dallas,"5'10""																",152lbs,#31 ,RB,Right Back,Guinea-Bissau,71,71,1944,https://www.fifaratings.com/eulanio-angelo-chipela-gomes
Franco Jara,FC Dallas,"5'11""																",170lbs,#29 ,ST,Striker,Argentina,70,70,1794,https://www.fifaratings.com/franco-jara
S. Lletget,FC Dallas,"5'10""																",152lbs,#12 ,CAM,Center Attacking Midfielder,United States,70,70,1902,https://www.fifaratings.com/sebastian-lletget
Paxton Pomykal,FC Dallas,"5'8""																",161lbs,#19 ,CAM,Center Attacking Midfielder,United States,69,78,1885,https://www.fifaratings.com/paxton-pomykal
Maarten Paes,FC Dallas,"6'3""																",181lbs,#30 ,GK,Goalkeeper,Netherlands,69,75,1023,https://www.fifaratings.com/maarten-paes
Jimmy Maurer,FC Dallas,"6'2""																",192lbs,#1 ,GK,Goalkeeper,United States,68,68,1146,https://www.fifaratings.com/jimmy-maurer
Jáder Obrian,FC Dallas,"5'5""																",139lbs,#8 ,RM,Right Midfielder,Colombia,68,68,1743,https://www.fifaratings.com/jader-obrian
Martínez,FC Dallas,"6'2""																",183lbs,#3 ,CB,Centre Back,Spain,68,68,1508,https://www.fifaratings.com/jose-antonio-martinez-gil
Marco Farfan,FC Dallas,"5'10""																",159lbs,#4 ,LB,Left Back,United States,66,73,1645,https://www.fifaratings.com/marco-farfan
Edwin Cerrillo,FC Dallas,"5'9""																",172lbs,#6 ,CDM,Center Defensive Midfielder,United States,65,78,1636,https://www.fifaratings.com/edwin-cerrillo
Nkosi Tafari,FC Dallas,"6'4""																",185lbs,#17 ,CB,Centre Back,United States,64,67,1470,https://www.fifaratings.com/nkosi-tafari
J. Quiñonez,FC Dallas,"5'11""																",172lbs,#28 ,CB,Centre Back,Ecuador,63,76,1464,https://www.fifaratings.com/joshue-quinonez
B. Servania,FC Dallas,"5'10""																",161lbs,#18 ,CDM,Center Defensive Midfielder,United States,63,70,1705,https://www.fifaratings.com/brandon-servania
Ema Twumasi,FC Dallas,"5'8""																",168lbs,#22 ,RWB,Right WingBack,Ghana,63,68,1685,https://www.fifaratings.com/ema-twumasi
Thomas Roberts,FC Dallas,"5'11""																",150lbs,#23 ,CAM,Center Attacking Midfielder,United States,60,71,1529,https://www.fifaratings.com/thomas-roberts
T. Ntsabeleng,FC Dallas,"5'7""																",159lbs,#16 ,CM,Center Midfielder,South Africa,60,67,1687,https://www.fifaratings.com/tsiki-ntsabeleng
Isaiah Parker,FC Dallas,"5'8""																",159lbs,#15 ,LM,Left Midfielder,United States,59,73,1483,https://www.fifaratings.com/isaiah-parker
Kalil ElMedkhar,FC Dallas,"6'0""																",172lbs,#21 ,RM,Right Midfielder,United States,58,67,1426,https://www.fifaratings.com/kalil-elmedkhar
Eddie Munjoma,FC Dallas,"5'10""																",161lbs,#2 ,RB,Right Back,United States,58,65,1510,https://www.fifaratings.com/eddie-munjoma
Lucas Bartlett,FC Dallas,"6'3""																",198lbs,#26 ,CB,Centre Back,United States,58,65,1249,https://www.fifaratings.com/lucas-bartlett
Nicky Hernandez,FC Dallas,"5'10""																",172lbs,#80 ,CAM,Center Attacking Midfielder,United States,56,63,1538,https://www.fifaratings.com/nicky-hernandez
Collin Smith,FC Dallas,"5'10""																",172lbs,#25 ,RB,Right Back,United States,55,73,1410,https://www.fifaratings.com/collin-smith
Antonio Carrera,FC Dallas,"6'3""																",150lbs,#13 ,GK,Goalkeeper,United States,53,73,843,https://www.fifaratings.com/antonio-carrera
Beni Redžić,FC Dallas,"5'10""																",159lbs,#14 ,ST,Striker,United States,50,70,1276,https://www.fifaratings.com/beni-redzic
In Beom Hwang,FC Seoul,"5'10""																",154lbs,CM,CM,Center Midfielder,South Korea,75,78,1970,https://www.fifaratings.com/in-beom-hwang
Sung Yueng Ki,FC Seoul,"6'2""																",165lbs,#6 ,CM,Center Midfielder,South Korea,73,73,1942,https://www.fifaratings.com/sung-yueng-ki
Osmar,FC Seoul,"6'4""																",190lbs,#5 ,CB,Centre Back,Spain,73,73,1853,https://www.fifaratings.com/osmar-ibanez-barba
S. Iljutcenko,FC Seoul,"6'2""																",181lbs,#90 ,ST,Striker,Russia,73,73,1783,https://www.fifaratings.com/stanislav-iljutcenko
Han Been Yang,FC Seoul,"6'5""																",198lbs,#21 ,GK,Goalkeeper,South Korea,70,70,1163,https://www.fifaratings.com/han-been-yang
Sang Ho Na,FC Seoul,"5'8""																",154lbs,#7 ,LW,Left Winger,South Korea,70,70,1830,https://www.fifaratings.com/sang-ho-na
Young Wook Cho,FC Seoul,"5'10""																",161lbs,#11 ,ST,Striker,South Korea,68,75,1772,https://www.fifaratings.com/young-wook-cho
A. Paločević,FC Seoul,"5'11""																",154lbs,#26 ,CM,Center Midfielder,Serbia,67,67,1797,https://www.fifaratings.com/aleksandar-palocevic
Jin Ya Kim,FC Seoul,"5'10""																",139lbs,#17 ,RM,Right Midfielder,South Korea,66,72,1808,https://www.fifaratings.com/jin-ya-kim
Yo Han Go,FC Seoul,"5'7""																",143lbs,#13 ,RM,Right Midfielder,South Korea,66,66,1903,https://www.fifaratings.com/yo-han-go
Kwang Min Ko,FC Seoul,"5'8""																",139lbs,#27 ,LB,Left Back,South Korea,66,66,1738,https://www.fifaratings.com/kwang-min-ko
Jong Gyu Yoon,FC Seoul,"5'8""																",143lbs,#23 ,RB,Right Back,South Korea,65,72,1628,https://www.fifaratings.com/jong-gyu-yoon
Jeong Hyun Cheol,FC Seoul,"6'2""																",159lbs,#16 ,CDM,Center Defensive Midfielder,South Korea,65,65,1650,https://www.fifaratings.com/hyun-cheol-jeong
Dong Jin Park,FC Seoul,"6'1""																",161lbs,#50 ,CB,Centre Back,South Korea,64,64,1768,https://www.fifaratings.com/dong-jin-park
Seong Jin Kang,FC Seoul,"5'10""																",168lbs,#29 ,LM,Left Midfielder,South Korea,63,83,1556,https://www.fifaratings.com/seong-jin-kang
Sang Min Lee,FC Seoul,"6'2""																",172lbs,#3 ,CB,Centre Back,South Korea,63,71,1326,https://www.fifaratings.com/sang-min-lee
Hyun Soo Hwang,FC Seoul,"6'0""																",176lbs,#2 ,CB,Centre Back,South Korea,63,66,1491,https://www.fifaratings.com/hyun-soo-hwang
Keijiro Ogawa,FC Seoul,"5'7""																",143lbs,#14 ,RM,Right Midfielder,Japan,63,63,1747,https://www.fifaratings.com/keijiro-ogawa
Han Beom Lee,FC Seoul,"6'3""																",185lbs,#20 ,CB,Centre Back,South Korea,62,76,1421,https://www.fifaratings.com/han-beom-lee
Tae Suk Lee,FC Seoul,"5'9""																",154lbs,#88 ,LWB,Left WingBack,South Korea,61,75,1563,https://www.fifaratings.com/tae-suk-lee
Dong Won Ji,FC Seoul,"6'2""																",181lbs,#10 ,ST,Striker,South Korea,61,61,1660,https://www.fifaratings.com/dong-won-ji
Ji Hun Cho,FC Seoul,"6'3""																",176lbs,#44 ,CAM,Center Attacking Midfielder,South Korea,61,61,1715,https://www.fifaratings.com/ji-hun-cho
Seung Gyu Han,FC Seoul,"5'9""																",143lbs,#61 ,CAM,Center Attacking Midfielder,South Korea,60,62,1690,https://www.fifaratings.com/seung-gyu-han
Ju Sung Kim,FC Seoul,"6'1""																",168lbs,#36 ,CB,Centre Back,South Korea,59,74,1395,https://www.fifaratings.com/ju-sung-kim
Min Hyuk Lim,FC Seoul,"5'6""																",141lbs,#8 ,CAM,Center Attacking Midfielder,South Korea,59,63,1638,https://www.fifaratings.com/min-hyuk-lim
Sung Min Hwang,FC Seoul,"6'2""																",183lbs,#18 ,GK,Goalkeeper,South Korea,58,58,1059,https://www.fifaratings.com/sung-min-hwang
Sang Hoon Paik,FC Seoul,"5'8""																",154lbs,#35 ,CM,Center Midfielder,South Korea,56,68,1479,https://www.fifaratings.com/sang-hoon-paik
Han Min Jeong,FC Seoul,"6'0""																",168lbs,#19 ,ST,Striker,South Korea,55,70,1450,https://www.fifaratings.com/han-min-jeong
Jong Beom Baek,FC Seoul,"6'3""																",187lbs,#1 ,GK,Goalkeeper,South Korea,51,64,852,https://www.fifaratings.com/jong-beom-baek
Pozuelo,Inter Miami CF,"5'7""																",163lbs,#8 ,CAM,Center Attacking Midfielder,Spain,79,79,2011,https://www.fifaratings.com/alejandro-pozuelo-melero
G. Higuaín,Inter Miami CF,"6'1""																",196lbs,#10 ,ST,Striker,Argentina,75,75,1765,https://www.fifaratings.com/gonzalo-higuain
Gregore,Inter Miami CF,"5'11""																",172lbs,#26 ,CB,Centre Back,Brazil,73,73,1898,https://www.fifaratings.com/gregore-de-magalhaes-da-s
Corentin Jean,Inter Miami CF,"5'7""																",154lbs,#14 ,CAM,Center Attacking Midfielder,France,71,72,1783,https://www.fifaratings.com/corentin-jean
DeAndre Yedlin,Inter Miami CF,"5'8""																",165lbs,#2 ,RB,Right Back,United States,70,70,1869,https://www.fifaratings.com/deandre-yedlin
Jean Mota,Inter Miami CF,"5'8""																",165lbs,#7 ,CAM,Center Attacking Midfielder,Brazil,70,70,1875,https://www.fifaratings.com/jean-mota-oliveira-de-sousa
Nick Marsman,Inter Miami CF,"6'2""																",194lbs,#21 ,GK,Goalkeeper,Netherlands,69,69,1180,https://www.fifaratings.com/nick-marsman
L. Campana,Inter Miami CF,"6'2""																",168lbs,#9 ,ST,Striker,Ecuador,68,75,1611,https://www.fifaratings.com/leonardo-campana
Damion Lowe,Inter Miami CF,"6'3""																",174lbs,#31 ,CB,Centre Back,Jamaica,68,69,1502,https://www.fifaratings.com/damion-lowe
Kieran Gibbs,Inter Miami CF,"5'11""																",161lbs,#3 ,LB,Left Back,England,68,68,1858,https://www.fifaratings.com/kieran-gibbs
Joevin Jones,Inter Miami CF,"5'9""																",161lbs,#33 ,LB,Left Back,Trinidad & Tobago,67,67,1823,https://www.fifaratings.com/joevin-jones
Robert Taylor,Inter Miami CF,"6'0""																",172lbs,#16 ,LW,Left Winger,Finland,66,66,1780,https://www.fifaratings.com/robert-taylor
